Horse,AvgPlacement_Last3,Speed_kph,PosChange,FinalCornerPos,DaysSinceLastRace,Distance,RaceGrade_numeric,Course,Track,Runners
Admire Rakti,3.3333333333333335,59.14708587820585,1.0869565217391304,8.217391304347826,28.0,2500,3,NAK,Turf,16
Curren Mirotic,3.3333333333333335,59.87216031108841,0.3333333333333333,3.857142857142857,22.0,2500,3,NAK,Turf,16
Danon Ballade,7.0,59.64655073223252,0.6086956521739131,5.521739130434782,56.0,2500,3,NAK,Turf,16
Desperado,5.666666666666667,57.96642490701257,1.3928571428571428,10.607142857142858,22.0,2500,3,NAK,Turf,16
Gold Ship,7.0,59.01754870364127,5.066666666666666,5.8,28.0,2500,3,NAK,Turf,16
Lelouch,8.0,58.67882525056902,0.058823529411764705,3.823529411764706,28.0,2500,3,NAK,Turf,16
Love Is Boo Shet,4.666666666666667,58.802163445772166,0.8823529411764706,4.823529411764706,35.0,2500,3,NAK,Turf,16
Lovely Day,3.6666666666666665,60.28278748287072,0.2,4.6,22.0,2500,3,NAK,Turf,16
Nakayama Knight,7.0,59.48643993269424,0.7391304347826086,7.695652173913044,28.0,2500,3,NAK,Turf,16
Orfevre,1.3333333333333333,59.4662358142775,1.9375,7.8125,266.0,2500,3,NAK,Turf,16
T M Inazuma,10.0,59.87834362933689,2.6153846153846154,7.538461538461538,15.0,2500,3,NAK,Turf,16
Tamamo Best Play,6.333333333333333,60.10246755798166,0.1,5.4,15.0,2500,3,NAK,Turf,16
To The Glory,7.333333333333333,59.5683523660203,1.3703703703703705,6.185185185185185,22.0,2500,3,NAK,Turf,16
Tosen Jordan,9.0,59.363621690511785,0.72,5.12,28.0,2500,3,NAK,Turf,16
Verde Green,6.333333333333333,59.36343433675879,0.42105263157894735,5.947368421052632,56.0,2500,3,NAK,Turf,16
Win Variation,3.3333333333333335,59.02419630249752,3.4,7.266666666666667,22.0,2500,3,NAK,Turf,16
